day,date,distance,start,startProvince,end,endProvince,description,accomodations
57,2024-05-27,4275,Red Rock,ON,Mackenzie,ON,Almost Thunder Bay,https://docs.google.com/forms/d/e/1FAIpQLSfvbGAgvE8a7-oA8FM-zklSylvBbVCc6NhgTpyeWyHk6efT2w/viewform?usp=sf_link
58,2024-05-28,4350,Mackenzie,ON,Shabaqua Corners,ON,Terry Fox statue day,https://docs.google.com/forms/d/e/1FAIpQLSeJLNqF347hGNQwDzKb8zW-AVlJ5yhVaMkY6F2HadaxqH1-dw/viewform?usp=sf_link
59,2024-05-29,4425,Shabaqua Corners,ON,Upsala,ON,,https://docs.google.com/forms/d/e/1FAIpQLSd6ZxYNa2TktDo95w_nDpPyQSeRP9I4WzA_6HYDH2AgXKUa5A/viewform?usp=sf_link
60,2024-05-30,4500,Upsala,ON,Martin,ON,,https://docs.google.com/forms/d/e/1FAIpQLSev33bpmlaeJFlNaLMIey1sxGd7hAUFHmMCKyioI12ZBvpleg/viewform?usp=sf_link
61,2024-05-31,4575,Martin,ON,Borups Corners,ON,,https://docs.google.com/forms/d/e/1FAIpQLSfEtZSYPaYgnnLm1pE6kWW5iEdx6hyMfI78T-2p7dNSqYmYzA/viewform?usp=sf_link
62,2024-06-01,4650,Borups Corners,ON,Dryden,ON,,https://docs.google.com/forms/d/e/1FAIpQLSd5Qik72Bx3wt9hkTJBPLVuTV0FtRmtjz7Jdy--W7lZGxy5Jw/viewform?usp=sf_link
63,2024-06-02,4725,Dryden,ON,Willard Lake,ON,,https://docs.google.com/forms/d/e/1FAIpQLSfp-o1nMHlMKkHofD4SZ7qqXe59M7zINjhSKfYeHbg_STvs2w/viewform?usp=sf_link
64,2024-06-03,4800,Willard Lake,ON,Granite Lake,ON,,https://docs.google.com/forms/d/e/1FAIpQLSdMzk-mGiufUFcoRQx-tGszvuaoAbrr-I1Wb0nA1rxgiPvxiQ/viewform?usp=sf_link
65,2024-06-04,4875,Granite Lake,ON,Prawda,MB,,https://docs.google.com/forms/d/e/1FAIpQLSd_B8sG_c_3xRm8OdkJGMmPMMfpuiIu5U9MkaHxb578gSjGNg/viewform?usp=sf_link
66,2024-06-05,4950,Prawda,MB,Dufresne,MB,Basically Winnipeg,https://docs.google.com/forms/d/e/1FAIpQLScS6phkyTnuUPaof92c5QbEF7cQsfUsG5EYAbBJhu7BYV4VJA/viewform?usp=sf_link
